city,country,lon,lat,temp,feels_like,temp_min,temp_max,pressure,humidity,sea_level,grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds,weather_main,weather_description,weather_icon,timezone
Moscow,RU,37.6156,55.7522,17.43,16.72,17.43,17.43,1005,57,1005,986,10000,2.24,311,2.61,94,Clouds,overcast clouds,04d,10800
Saint Petersburg,RU,30.2642,59.8944,19.47,19.09,19.47,19.47,1002,62,1002,1000,10000,0.89,154,4.47,80,Clouds,broken clouds,04d,10800
Novosibirsk,RU,82.9344,55.0411,26.34,26.34,26.34,26.34,1006,54,1006,987,10000,0.43,358,0.96,9,Clear,clear sky,01d,25200
Yekaterinburg,RU,60.6125,56.8575,18.83,19.04,18.83,18.83,1004,87,1004,971,10000,2.13,86,4.01,99,Rain,moderate rain,10d,18000
Kazan,RU,49.1221,55.7887,25.17,25.0,25.17,25.17,1003,48,1003,990,10000,3.05,95,2.85,42,Clouds,scattered clouds,03d,10800
Vladimir,RU,40.3966,56.1366,19.8,20.03,19.8,19.8,1003,84,1003,987,10000,3.4,339,4.31,79,Rain,light rain,10d,10800
Nizhny Novgorod,RU,44.002,56.3287,25.94,25.76,25.94,25.94,1002,45,1002,992,10000,4.19,163,4.23,6,Clear,clear sky,01d,10800
Samara,RU,50.0,53.0,23.33,23.21,23.33,23.33,1001,57,1001,992,10000,3.91,298,6.05,41,Clouds,scattered clouds,03d,14400
Omsk,RU,73.4,55.0,24.36,24.18,24.36,24.36,1005,51,1005,994,10000,3.3,130,4.06,49,Clouds,scattered clouds,03d,21600
Krasnoyarsk,RU,92.7917,56.0097,19.93,19.96,19.93,19.93,1007,76,1007,979,10000,1.31,217,1.67,93,Clouds,overcast clouds,04d,25200
Rostov-on-Don,RU,39.7139,47.2364,24.87,24.77,24.87,24.87,1007,52,1007,1002,10000,4.71,269,5.15,100,Clouds,overcast clouds,04d,10800
Ufa,RU,56.0375,54.775,23.98,23.74,23.98,23.98,1002,50,1002,988,10000,1.55,64,1.7,43,Clouds,scattered clouds,03d,18000
Volgograd,RU,44.5018,48.7194,26.77,26.89,26.77,26.77,1003,44,1003,996,10000,6.33,260,6.89,55,Clouds,broken clouds,04d,10800
Perm,RU,56.2855,58.0174,22.76,22.71,22.76,22.76,1005,62,1005,987,10000,3.54,83,4.75,77,Rain,light rain,10d,18000
Voronezh,RU,39.17,51.6664,18.08,18.03,18.08,18.08,1006,80,1006,991,10000,4.18,308,5.91,100,Clouds,overcast clouds,04d,10800
Krasnodar,RU,40.0,45.0,23.07,23.31,23.07,23.07,1009,72,1009,999,10000,6.53,272,7.75,62,Rain,light rain,10d,10800
Saratov,RU,46.0333,51.5667,23.6,23.53,23.6,23.6,1002,58,1002,994,10000,1.29,273,2.81,44,Clouds,scattered clouds,03d,14400
Tyumen,RU,65.5272,57.1522,23.2,23.22,23.2,23.2,1004,63,1004,994,10000,4.87,125,6.82,83,Rain,light rain,10d,18000
Tolyatti,RU,49.3461,53.5303,21.32,21.15,21.32,21.32,1002,63,1002,995,10000,2.71,325,3.43,99,Clouds,overcast clouds,04d,14400
Izhevsk,RU,53.2333,56.85,25.07,25.09,25.07,25.07,1003,56,1003,987,10000,2.04,81,2.48,52,Clouds,broken clouds,04d,14400
London,GB,-0.1257,51.5085,19.79,19.16,18.89,21.1,1020,51,1020,1015,10000,0.89,37,2.24,46,Clouds,scattered clouds,03d,3600
Paris,FR,2.3488,48.8534,24.88,24.52,22.9,26.87,1019,42,1019,1009,10000,3.2,339,4.56,20,Clouds,few clouds,02d,7200
Berlin,DE,13.4105,52.5244,16.4,15.98,13.38,18.34,1008,72,1008,1003,10000,8.05,270,,97,Rain,moderate rain,10d,7200
Madrid,ES,-3.7026,40.4165,28.71,27.69,28.13,29.8,1014,31,1014,941,10000,1.34,135,2.68,49,Clouds,scattered clouds,03d,7200
Rome,US,-85.1647,34.257,23.02,23.83,22.36,23.6,1015,94,1015,988,10000,1.69,227,3.85,100,Clouds,overcast clouds,04d,-14400
Amsterdam,NL,4.8897,52.374,16.59,16.08,15.5,17.72,1017,68,1017,1017,10000,3.13,290,6.71,40,Clouds,scattered clouds,03d,7200
Brussels,BE,4.3488,50.8504,17.97,17.49,17.11,18.77,1019,64,1019,1012,10000,4.1,324,5.57,90,Clouds,overcast clouds,04d,7200
Vienna,AT,16.3721,48.2085,20.53,20.13,19.52,22.68,1012,57,1012,986,10000,6.71,302,24.14,83,Clouds,broken clouds,04d,7200
Prague,CZ,14.4208,50.088,16.1,15.28,14.93,17.51,1013,58,1013,978,10000,5.36,280,,84,Clouds,broken clouds,04d,7200
Warsaw,PL,21.0118,52.2298,13.91,13.47,12.34,14.95,1006,81,1006,995,10000,0.89,0,0.89,91,Clouds,overcast clouds,04d,7200
Budapest,HU,19.0399,47.498,22.35,21.97,21.17,23.24,1011,51,1011,990,10000,2.68,336,6.71,100,Rain,light rain,10d,7200
Lisbon,PT,-9.1333,38.7167,24.36,24.63,23.06,25.55,1016,68,1016,1008,10000,3.13,190,5.81,7,Clear,clear sky,01d,3600
Stockholm,SE,18.0649,59.3326,11.87,11.41,11.73,12.36,997,88,997,992,10000,1.34,270,3.58,100,Clouds,overcast clouds,04d,7200
Oslo,NO,10.7461,59.9127,15.52,14.72,15.52,15.52,1003,61,1003,980,10000,3.4,359,8.76,100,Clouds,overcast clouds,04d,7200
Copenhagen,DK,12.5655,55.6759,16.75,16.39,16.75,16.75,1003,73,1003,1001,10000,6.59,328,8.51,88,Clouds,overcast clouds,04d,7200
Helsinki,FI,24.9355,60.1695,14.67,13.97,13.87,16.69,1000,68,1000,998,10000,2.68,115,4.47,46,Clouds,scattered clouds,03d,10800
Athens,GR,23.7162,37.9795,28.17,28.12,26.52,29.6,1015,44,1015,991,10000,3.13,337,6.71,0,Clear,clear sky,01d,10800
Dublin,US,-121.9358,37.7021,14.55,14.25,12.95,15.48,1012,84,1012,987,10000,1.34,230,3.58,2,Clear,clear sky,01n,-25200
Zurich,CH,8.55,47.3667,25.78,25.46,24.6,27.12,1015,40,1015,958,10000,6.71,249,10.73,6,Clear,clear sky,01d,7200
Barcelona,ES,2.159,41.3888,30.37,28.82,29.37,33.5,1015,26,1015,1008,10000,1.34,90,4.92,31,Clouds,scattered clouds,03d,7200
Beijing,CN,116.3972,39.9075,28.8,28.67,28.8,28.8,1006,43,1006,1001,10000,3.74,145,4.73,11,Clouds,few clouds,02d,28800
Shanghai,CN,121.4581,31.2222,22.79,23.45,22.79,22.79,1007,89,1007,1006,10000,2.84,104,7.5,100,Clouds,overcast clouds,04n,28800
Shenzhen,CN,114.0683,22.5455,29.72,36.72,28.54,30.15,1006,90,1006,997,9506,3.97,216,7.36,100,Rain,light rain,10n,28800
Guangzhou,CN,113.25,23.1167,26.75,29.94,26.75,26.75,1004,89,1004,1004,10000,1.77,152,3.84,100,Clouds,overcast clouds,04n,28800
Harbin,CN,126.65,45.75,17.52,17.36,17.52,17.52,1013,78,1013,997,10000,1.99,80,6.67,100,Clouds,overcast clouds,04n,28800
Tokyo,JP,139.6917,35.6895,23.06,23.46,22.01,23.64,1017,78,1017,1016,10000,1.34,171,2.68,100,Clouds,overcast clouds,04n,32400
Seoul,KR,126.9778,37.5683,22.69,22.66,22.69,22.69,1011,63,1011,1001,10000,2.35,56,3.27,57,Clouds,broken clouds,04n,32400
Bangkok,TH,100.5167,13.75,29.39,35.85,29.39,29.39,1007,80,1007,1006,10000,4.85,201,6.65,91,Rain,moderate rain,10d,25200
Singapore,SG,103.8501,1.2897,28.85,34.54,28.85,28.85,1010,81,1010,1010,10000,4.13,163,4.4,94,Clouds,overcast clouds,04n,28800
Hong Kong,HK,114.1577,22.2855,29.49,36.49,28.6,30.21,1006,82,1006,1001,5075,7.15,210,,100,Clouds,overcast clouds,04n,28800
Taipei,TW,121.5319,25.0478,25.27,25.24,24.07,25.51,1005,53,1005,987,10000,1.34,260,5.81,100,Rain,light rain,10n,28800
Kuala Lumpur,MY,101.6865,3.1431,25.24,26.07,25.24,25.24,1011,86,1011,998,10000,1.9,336,3.47,100,Rain,moderate rain,10n,28800
Jakarta,ID,106.8451,-6.2146,30.25,36.99,30.05,31.28,1011,75,1011,1008,10000,0.89,80,0.89,34,Clouds,scattered clouds,03n,25200
Manila,PH,120.9822,14.6042,30.07,37.07,30.06,30.07,1010,86,1010,1013,10000,3.99,222,4.68,58,Clouds,broken clouds,04n,28800
Hanoi,VN,105.8412,21.0245,32.76,37.91,32.76,32.76,1000,57,1000,999,10000,3.87,147,8.82,99,Clouds,overcast clouds,04n,25200
New York,US,-74.006,40.7143,23.33,23.39,21.64,24.5,1011,64,1011,1010,10000,1.79,315,3.13,98,Clouds,overcast clouds,04d,-14400
Los Angeles,US,-118.2437,34.0522,17.05,16.51,15.56,18.29,1013,65,1013,993,10000,0.93,199,0.81,0,Clear,clear sky,01n,-25200
Chicago,US,-87.65,41.85,17.49,17.57,16.18,18.4,1011,87,1011,990,10000,1.34,286,2.24,90,Rain,light rain,10d,-18000
Houston,US,-95.3633,29.7633,27.27,31.64,26.17,27.85,1014,91,1014,1012,10000,1.34,109,4.02,7,Clear,clear sky,01d,-18000
Phoenix,US,-112.074,33.4484,31.26,30.82,29.63,32.33,1009,37,1009,967,10000,2.69,246,3.5,40,Clouds,scattered clouds,03n,-25200
Toronto,CA,-79.4163,43.7001,17.91,17.85,16.71,18.47,1006,80,1006,991,10000,0.89,355,3.13,100,Clouds,overcast clouds,04d,-14400
Vancouver,CA,-123.1193,49.2497,15.89,15.34,14.97,17.47,1021,69,1021,1013,10000,0.89,347,2.24,59,Clouds,broken clouds,04n,-25200
Montreal,CA,-73.5878,45.5088,17.18,17.38,16.14,17.85,1007,93,1007,1004,10000,1.34,203,3.13,27,Rain,moderate rain,10d,-14400
Calgary,CA,-114.0853,51.0501,7.67,7.19,6.9,9.31,1024,77,1024,897,10000,1.34,238,2.68,39,Clouds,scattered clouds,03d,-21600
Ottawa,CA,-75.6981,45.4112,17.35,17.65,16.17,17.77,1006,96,1006,995,10000,1.76,224,3.8,48,Rain,moderate rain,10d,-14400
Sao Paulo,BR,-46.6361,-23.5475,17.67,18.05,17.47,20.06,1020,98,1020,930,10000,0.45,8,1.34,92,Clouds,overcast clouds,04d,-10800
Rio de Janeiro,BR,-43.2075,-22.9028,24.74,25.88,23.3,24.74,1020,100,1020,1021,10000,0.28,215,0.75,99,Clouds,overcast clouds,04d,-10800
Buenos Aires,AR,-58.3772,-34.6132,3.5,3.5,2.22,3.86,1025,81,1025,1024,10000,0.45,158,0.89,0,Clear,clear sky,01d,-10800
Lima,PE,-77.0282,-12.0432,18.83,19.07,18.83,18.83,1015,88,1015,989,10000,1.37,178,0.95,81,Clouds,broken clouds,04d,-18000
Bogota,CO,-74.0817,4.6097,12.84,12.4,12.31,13.15,1021,85,1021,740,10000,1.22,105,2.2,100,Clouds,overcast clouds,04d,-18000
Santiago,CL,-70.6483,-33.4569,15.35,14.14,14.12,17.55,1017,46,1017,931,10000,0.82,88,0.76,100,Clouds,overcast clouds,04n,-14400
Caracas,VE,-66.8792,10.488,21.49,21.81,21.49,22.88,1017,81,1017,899,10000,0.89,53,1.34,51,Clouds,broken clouds,04d,-14400
Quito,EC,-78.5249,-0.2299,8.44,7.33,8.44,8.44,1020,79,1020,724,10000,2.05,135,2.88,67,Clouds,broken clouds,04d,-18000
Montevideo,UY,-56.1674,-34.8335,8.74,6.25,8.74,8.74,1023,73,1023,1020,10000,4.45,202,6.15,40,Clouds,scattered clouds,03d,-10800
La Paz,BO,-68.15,-16.5,5.33,4.4,5.33,5.33,1023,43,1023,622,10000,1.44,30,1.43,6,Clear,clear sky,01d,-14400
Cairo,EG,31.2497,30.0626,33.01,32.47,33.01,33.01,1009,33,1009,1004,10000,4.78,301,5.22,0,Clear,clear sky,01d,10800
Lagos,NG,3.75,6.5833,28.78,33.35,28.78,28.78,1014,76,1014,1014,10000,3.15,182,3.8,91,Rain,moderate rain,10d,3600
Nairobi,KE,36.8167,-1.2833,20.83,20.46,20.83,20.83,1017,57,1017,840,10000,4.34,120,3.78,97,Clouds,overcast clouds,04d,10800
Johannesburg,ZA,28.0436,-26.2023,18.57,18.13,17.08,18.8,1022,63,1022,834,10000,0.89,54,2.68,0,Clear,clear sky,01d,7200
Cape Town,ZA,18.4232,-33.9258,14.88,14.54,14.38,15.62,1022,81,1022,1020,10000,3.13,321,7.15,7,Rain,light rain,10d,7200
Casablanca,MA,-7.6192,33.5928,24.07,24.1,24.07,24.07,1018,60,1018,1009,10000,2.68,340,,31,Clouds,scattered clouds,03d,3600
Addis Ababa,ET,38.7469,9.025,23.06,22.23,23.06,23.06,1013,31,1013,773,10000,5.83,62,7.14,81,Clouds,broken clouds,04d,10800
Dar es Salaam,TZ,39.2695,-6.8235,28.97,29.87,28.97,28.97,1017,52,1017,1015,10000,5.9,153,7.25,65,Clouds,broken clouds,04d,10800
Accra,GH,-0.1969,5.556,28.66,32.34,28.66,28.66,1014,72,1014,1011,10000,4.39,221,4.29,73,Clouds,broken clouds,04d,0
Tunis,TN,9.0,34.0,32.59,30.93,32.59,32.59,1016,25,1016,1005,10000,0.78,150,0.91,0,Clear,clear sky,01d,3600
Sydney,AU,151.2073,-33.8679,15.97,15.61,15.17,16.51,1032,76,1032,1027,10000,1.79,161,5.36,71,Clouds,broken clouds,04n,36000
Melbourne,US,-80.6081,28.0836,25.84,26.54,24.47,26.14,1016,79,1016,1016,10000,2.68,232,3.58,100,Clouds,overcast clouds,04d,-14400
Brisbane,AU,153.0281,-27.4679,15.58,15.52,14.12,16.76,1028,89,1028,1022,10000,1.79,101,2.24,92,Clouds,overcast clouds,04n,36000
Auckland,NZ,174.7667,-36.8667,10.95,9.95,9.67,11.82,1031,71,1031,1027,10000,1.46,294,2.32,10,Clear,clear sky,01n,43200
Wellington,NZ,174.7756,-41.2866,13.55,13.26,12.73,14.81,1022,88,1022,1010,10000,10.73,332,18.33,12,Clouds,few clouds,02n,43200
Dubai,AE,55.3047,25.2582,33.53,40.53,33.53,33.53,1001,60,1001,1000,10000,5.52,340,5.52,0,Clear,clear sky,01d,14400
Doha,QA,51.5333,25.2867,39.69,40.94,39.69,39.69,1001,26,1001,1000,10000,7.16,33,8.57,4,Clear,clear sky,01d,10800
Riyadh,SA,46.7219,24.6877,43.58,39.13,43.58,43.58,1002,5,1002,933,10000,2.7,266,3.65,0,Clear,clear sky,01d,10800
Abu Dhabi,AE,54.3667,24.4667,33.42,39.86,33.42,33.42,1000,58,1000,1000,10000,5.83,340,5.99,0,Clear,clear sky,01d,14400
Muscat,OM,58.5922,23.6139,36.29,40.48,36.29,36.29,1001,42,1001,992,10000,1.61,52,2.86,0,Clear,clear sky,01d,14400
Istanbul,TR,28.9833,41.0351,24.32,24.22,23.53,27.77,1015,54,1015,1006,10000,1.03,236,3.2,0,Clear,clear sky,01d,10800
